ID,Dataset Name,Friendly Name,Data Type,Plottable,Has Schema,Category,Description
3345,corva#diff_derating.settings,diff_derating.settings,reference,No,No,Other,Diff Derating Settings
367,corva#digital-mud-engineer,digital-mud-engineer,time,No,No,Other,
34,corva#directional.accuracy,directional.accuracy,time,No,Yes,Directional,
1611,corva#directional.actual_survey_divergence,directional.actual_survey_divergence,time,No,No,Directional,additional information(divergence values) for data.actual_survey records
1915,corva#directional.custom_bit_projection,directional.custom_bit_projection,time,No,No,Directional,"Custom bit projections - RSS bit projection, Motor bit projection, etc. Generated in either Auto Projection Scheduler or Survey Projection Calculator"
2963,corva#directional.custom_bit_projection.logging,directional.custom_bit_projection.logging,reference,No,No,Directional,"optional log/history of custom_bit_projection records, needed for accuracy evaluation, controlled by hidden toggle on FE"
3088,corva#directional.default_bit_projection,directional.default_bit_projection,time,No,No,Directional,"Default bit projection, based on motor bit projection. Generated mostly in Auto Projection Scheduler and sometimes in Survey Projection Calculator"
159,corva#directional.enriched-surveys,directional.enriched-surveys,time,No,No,Directional,
160,corva#directional.guidance,directional.guidance,time,No,No,Directional,
172,corva#directional.guidance_log,directional.guidance_log,time,No,No,Directional,
170,corva#directional.guidance_recommendation,directional.guidance_recommendation,time,No,No,Directional,
173,corva#directional.guidance_settings,directional.guidance_settings,time,No,No,Directional,
171,corva#directional.guidance_step_history,directional.guidance_step_history,time,No,No,Directional,
3354,corva#directional.motor_yield.summary-1ft,directional.motor_yield.summary-1ft,depth,No,No,Directional,
3320,corva#directional.pre-post-slide,directional.pre-post-slide,time,No,No,Directional,pre post slide calculation
1727,corva#directional.projection,directional.projection,time,No,No,Directional,
103,corva#directional.projection_to_bit,directional.projection_to_bit,time,No,Yes,Directional,
4,corva#directional.rotational-tendency,directional.rotational-tendency,time,No,Yes,Directional,"Build and turn rate by depth as measured by MWD tool. If continuous inclination is available from the MWD tool, then data will include continuous build"
1889,corva#directional.scenario-manual,directional.scenario-manual,time,No,No,Directional,Manual scenarios for directional projections(Survey Projection Calculator app)
1726,corva#directional.settings,directional.settings,reference,No,No,Directional,
89,corva#directional.slide-sheet,directional.slide-sheet,time,No,No,Directional,
35,corva#directional.surveys,directional.surveys,time,No,Yes,Directional,Planned and actual surveys in the same collection
37,corva#directional.tool-face-orientation,directional.tool-face-orientation,time,No,No,Directional,
686,corva#directional.tool_face,directional.tool_face,depth,No,No,Directional,
891,corva#directional.toolface.summary-1ft,directional.toolface.summary-1ft,time,No,No,Directional,This collection is a 1-foot summary of the toolface values (both magnetic and gravity) and the active type while Slide Drilling.
38,corva#directional.tortuosity,directional.tortuosity,time,No,Yes,Directional,
36,corva#directional.trend,directional.trend,time,No,Yes,Directional,
320,corva#directional.wellbore-quality,directional.wellbore-quality,time,No,No,Directional,Stores H&P Wellbore Quality Data
1348,corva#dls-traces-custom,dls-traces-custom,time,No,No,Other,DLS Traces Calculation
3358,corva#dmytro_test_dataset,dmytro_test_dataset,time,No,No,Other,
1236,corva#downhole.sensor.adjustment,downhole.sensor.adjustment,time,No,No,Downhole Sensors,downhole.sensor.adjustment
1531,corva#downhole.sensor.data,downhole.sensor.data,time,No,No,Downhole Sensors,
1532,corva#downhole.sensor.data-1m,downhole.sensor.data-1m,time,No,No,Downhole Sensors,
1533,corva#downhole.sensor.data-30m,downhole.sensor.data-30m,time,No,No,Downhole Sensors,
1534,corva#downhole.sensor.data-6h,downhole.sensor.data-6h,time,No,No,Downhole Sensors,
1530,corva#downhole.sensor.data.header,downhole.sensor.data.header,time,No,No,Downhole Sensors,
244,corva#drill2frac.depth,drill2frac.depth,depth,No,No,Other,drill2frac depth data
245,corva#drill2frac.meta,drill2frac.meta,time,No,No,Other,drill2frac metadata
10,corva#drilling-ai,drilling-ai,time,No,No,Drilling,
79,corva#drilling-dysfunction,drilling-dysfunction,time,No,Yes,Drilling,
42,corva#drilling-efficiency.mse,drilling-efficiency.mse,time,No,Yes,Drilling,
40,corva#drilling-efficiency.mse-heatmap,drilling-efficiency.mse-heatmap,time,No,Yes,Drilling,
74,corva#drilling-efficiency.mse.imports,drilling-efficiency.mse.imports,time,No,No,Drilling,
41,corva#drilling-efficiency.optimization,drilling-efficiency.optimization,time,No,Yes,Drilling,"Actual drilling parameters (inclination, RPM, ROP, Mud flow, WOB, gamma ray, bit size, state) vs recommended drilling parameters ( Max RPM, Expected ROP, Min/Max WOB, Min RPM). Also includes efficiency score."
153,corva#drilling-efficiency.predictions,drilling-efficiency.predictions,time,No,Yes,Drilling,
39,corva#drilling-efficiency.rop-heatmap,drilling-efficiency.rop-heatmap,time,No,Yes,Drilling,
86,corva#drilling-roadmap,drilling-roadmap,time,No,No,Drilling,"Drilling roadmap which has WOB, Diff pressures, RPM, Torque, MSE. ROP's. Mud densities, Flow In's, and Hazards from optimal offset wells  for that particular well by formation"
198,corva#drilling-roadmap.hazard,drilling-roadmap.hazard,time,No,No,Drilling,
1318,corva#drilling-roadmap.hazard.log,drilling-roadmap.hazard.log,time,No,No,Drilling,
87,corva#drilling-roadmap.scoring,drilling-roadmap.scoring,time,No,No,Drilling,"Actuals values for drillers roadmap WOB, Diff pressures, RPM, Torque, MSE. ROP's. Mud densities, Flow In's, and Hazards  for that particular well by formation"
754,corva#drilling.24-and-48-hr-footage-drilled,drilling.24-and-48-hr-footage-drilled,time,Yes,No,Drilling,
423,corva#drilling.aerion.centrifuge.data,drilling.aerion.centrifuge.data,time,No,No,Drilling,
509,corva#drilling.aerion.mudsensor.data,drilling.aerion.mudsensor.data,time,No,No,Drilling,Aerion Mudsensor data
814,corva#drilling.bit-pressure.depth.summary,drilling.bit-pressure.depth.summary,time,No,No,Drilling,
636,corva#drilling.drilling2.summary-1ft,drilling.drilling2.summary-1ft,time,No,No,Drilling,
652,corva#drilling.ecd,drilling.ecd,time,No,No,Drilling,
551,corva#drilling.halliburton.cerebro-raw,drilling.halliburton.cerebro-raw,reference,No,No,Drilling,Captures continuous high-resolution bit sensor data
400,corva#drilling.hookload-plus-weight-on-bit,drilling.hookload-plus-weight-on-bit,time,Yes,No,Drilling,
902,corva#drilling.mud-ops,drilling.mud-ops,time,No,Yes,Drilling,"This dataset saves drilling ops mud data that includes pit information, inventory information, volumes, material pricing, mud pump data and shaker data."
598,corva#drilling.mudlog.depth,drilling.mudlog.depth,depth,No,No,Drilling,The mudLog object is used to capture information in a mud log. This includes lithologic information derived from cuttings encountered on a shaker screen at a site. This object is uniquely identified within the context of one wellbore object.
622,corva#drilling.mudlog.depth.metadata,drilling.mudlog.depth.metadata,depth,No,No,Drilling,Metadata for mudlogs collection
675,corva#drilling.neptune.backreaming.pipelimit,drilling.neptune.backreaming.pipelimit,reference,No,No,Drilling,
