asset_id,well_name,operator,distance_miles,section_type,bha_number,start_depth,end_depth,run_length,section_start_depth,lateral_start_depth,set_date,num_components,is_rss,has_agitator,bit_size,bit_type,bit_name,bit_manufacturer,bit_model,bit_serial,bit_tfa,bit_nozzles,bit_blade_count,bit_cutter_size,motor_name,motor_manufacturer,motor_model,motor_od,motor_length,motor_rpg,motor_max_diff,motor_bend,motor_stages,motor_lobes,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,motor_lobe_config,motor_rpg_band
89084185,La Muela Quick PSA 2H,Pursuit Oil & Gas,10.4,intermediate,2,4820,10187.3,5367.3,N/A,N/A,2019-10-24,7,False,False,8.75,pdc,"8.75"" Ulterra SPL616",Ulterra,SPL616,47404,2.2365439887372647,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 7/8 6.9",ProDirectional,7/8 6.9,7,34.62,0.25,N/A,N/A,6.9,N/A,6,16,high,"Ulterra:SPL616->B6,16mm",7/8,lo
89084185,La Muela Quick PSA 2H,Pursuit Oil & Gas,10.4,intermediate,1,112,4820.1,4708.1,N/A,N/A,2019-10-06,10,False,False,12.25,pdc,"12.25"" NOV TK69",NOV,TK69,A265471,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"9.625"" NOV 6/7 50",NOV,6/7 50,9.625,29.65,0.127,N/A,N/A,5,N/A,6,?(9),check,"NOV-TK:TK69->B6,C9",6/7,lo
89084185,La Muela Quick PSA 2H,Pursuit Oil & Gas,10.4,intermediate,3,10187,10599,412,N/A,N/A,2019-10-26,9,False,True,8.75,pdc,"8.75"" Baker Hughes DD406TS",Baker Hughes,DD406TS,5305105,0.9940195505498954,"[{'size': 12, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,31.37,0.42,N/A,N/A,8.2,N/A,6,13,high,Baker:DD406TS->C40B6(frac),5/6,mid
89084185,La Muela Quick PSA 2H,Pursuit Oil & Gas,10.4,intermediate,4,10599,10800.8,201.8,N/A,N/A,2019-10-27,9,False,True,8.75,Tri Cone,"8.75"" Schlumberger XR+",Schlumberger,XR+,RL0562,2.0708740636456158,"[{'size': 30, 'count': 3}]",N/A,N/A,"7"" ProDirectional 7/8 5.0",ProDirectional,7/8 5.0,7,24.99,0.28,N/A,N/A,5,N/A,?,?,unknown,no_match:XR+,7/8,lo
89084185,La Muela Quick PSA 2H,Pursuit Oil & Gas,10.4,intermediate,5,10800,22004,11204,N/A,N/A,2019-10-29,9,False,True,8.75,pdc,"8.75"" Baker Hughes DD406S",Baker Hughes,DD406S,5304220,1.0354370318228079,"[{'size': 15, 'count': 6}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,29.33,0.42,N/A,N/A,8.2,N/A,6,13,high,Baker:DD406S->C40B6(frac),5/6,mid
59701710,La Muela Quick PSA 3H,Pursuit Oil & Gas,10.4,intermediate,2,4825,10279.4,5454.4,N/A,N/A,2019-11-05,7,False,False,8.75,pdc,"8.75"" Ulterra SPL616",Ulterra,SPL616,47536,2.2365439887372647,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional Pro Power 7/8 6.9 stg",ProDirectional,Pro Power 7/8 6.9 stg,7,34.55,0.25,N/A,N/A,6.9,N/A,6,16,high,"Ulterra:SPL616->B6,16mm",7/8,lo
59701710,La Muela Quick PSA 3H,Pursuit Oil & Gas,10.4,intermediate,1,102,4825,4723,N/A,N/A,2019-10-08,10,False,False,12.25,pdc,"12.25"" NOV TK69",NOV,TK69,A266416,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"9.625"" NOV 6/7 5.0 stg",NOV,6/7 5.0 stg,9.625,29.65,0.13,N/A,N/A,5,N/A,6,?(9),check,"NOV-TK:TK69->B6,C9",6/7,lo
59701710,La Muela Quick PSA 3H,Pursuit Oil & Gas,10.4,intermediate,4,18893,21810.1,2917.1,N/A,N/A,2019-11-10,9,False,True,8.75,pdc,"8.75"" Ulterra SPL616",Ulterra,SPL616,48413,2.9728547669223726,"[{'size': 18, 'count': 3}, {'size': 22, 'count': 6}]",N/A,N/A,"7"" ProDirectional Pro Power 5/6 9.4 stg",ProDirectional,Pro Power 5/6 9.4 stg,7,34.65,0.4,N/A,N/A,9.4,N/A,6,16,high,"Ulterra:SPL616->B6,16mm",5/6,mid
59701710,La Muela Quick PSA 3H,Pursuit Oil & Gas,10.4,intermediate,3,10279,18893.7,8614.7,N/A,N/A,2019-11-07,9,False,True,8.75,pdc,"8.75"" Baker Hughes DD406S",Baker Hughes,DD406S,5305430,1.0354370318228079,"[{'size': 15, 'count': 6}]",N/A,N/A,"7"" ProDirectional Pro Power 5/6 9.4 stg",ProDirectional,Pro Power 5/6 9.4 stg,7,29.25,0.4,N/A,N/A,9.4,N/A,6,13,high,Baker:DD406S->C40B6(frac),5/6,mid
26355794,Quick Ranch B Pad 3H,Pursuit Oil & Gas,10.5,intermediate,1,492,4940.066,4448.1,N/A,N/A,2021-12-02,10,False,False,12.25,pdc,"12.25"" NOV TK66-AB1",NOV,TK66-AB1,A283051,1.6659031356438063,"[{'size': 18, 'count': 3}, {'size': 20, 'count': 3}]",N/A,N/A,"9.625"" NOV 6/7 5.0",NOV,6/7 5.0,9.625,30.19,0.13,N/A,N/A,5,N/A,6,16,high,"NOV-TK:TK66-AB1->B6,C6",6/7,lo
